"title","full_address","email","affiliations","type","established","phone"
"Swarnim Sagarmatha College","Devdaha, Rupandehi","N/A","Tribhuvan University","Public","N/A","N/A"
"Sanibheri Education Campus","Simli, Sanibheri, Western Rukum","N/A","Tribhuvan University","Community","N/A","N/A"
"Chandrakot Campus","Shantipur, Chandrakot, Gulmi","N/A","Tribhuvan University","Community","N/A","N/A"
"Jana Adarsha Campus","Madhyapur Thimi, Bhaktapur","N/A","Tribhuvan University","Community","N/A","01-6633733"
"Simrutu Campus","Triveni, Western Rukum","N/A","Tribhuvan University","Community","N/A","N/A"
"Hile Campus","Hile, Dhankuta","N/A","Tribhuvan University","Community","2067 BS","N/A"
"​Public Campus, Biratnagar","Dhanimanigaun, Dhanimani, Morang","N/A","Purbanchal University","Community","N/A","021-524955, 021-524483"
"Jalpadevi Campus","Pakhribas, Dhankuta","N/A","Tribhuvan University","Community","N/A","N/A"
"Sunkoshi Campus","Ratamata, Sunkoshi, Sindhuli","N/A","Tribhuvan University","Community","N/A","047-529190"
"College of Technical Sciences","Kumaripati, Lalitpur","N/A","Purbanchal University","Private","N/A","N/A"
"Tansen Multiple Campus","Kajipauwa, Tansen, Palpa","N/A","National Examinations Board, Tribhuvan University","Community","2047 BS","075-520597, 075-522450"
"Geruwa Multiple Campus","Geruwa, Bardiya","N/A","Far-Western University","Private","N/A","N/A"
"Simpani Campus","Khotehang, Khotang","N/A","Tribhuvan University","Community","N/A","993361040"
"Gaurigung Campus","Gauriganj, Jhapa","N/A","National Examinations Board, Tribhuvan University","Community","N/A","023-620439"
"Gyan Jyoti Community Campus","Phulawari, Champadevi, Okhaldhunga","N/A","Tribhuvan University","Community","N/A","N/A"
"Buddhilal Bidya Munar Campus","Bhagatpur, Shambhunath, Saptari","N/A","Tribhuvan University","Community","N/A","N/A"
"Jalbire Valley Campus","Jalbire, Sindhupalchok","N/A","Tribhuvan University","Community","2067 BS","N/A"
"Melamchi Valley Campus","Gyalthum, Helambu, Sindhupalchok","N/A","Tribhuvan University","Community","N/A","N/A"
"Bhim Datta Multiple Campus","Amargadhi, Dadeldhura","N/A","Tribhuvan University","Community","N/A","N/A"
"Lamahi Community Institute of Science and Technology","Deukhuri, Gadhawa, Dang","N/A","Purbanchal University","Private","N/A","N/A"
"Rastriya Campus","Dattu, Mahakali, Darchula","N/A","Tribhuvan University","Community","N/A","N/A"
"Birat Model College","Biratnagar, Morang","N/A","Tribhuvan University","Private","2065 B.S","N/A"
"Sautha Multiple Campus","Sijawa, Ratuwamai, Morang","N/A","Tribhuvan University","Community","2065 BS","N/A"
"Gograha College","Biratnagar, Morang","N/A","Purbanchal University","Community","N/A","N/A"
"Palhi Multiple Campus","Ramgram, Parasi","N/A","National Examinations Board, Tribhuvan University","Community","N/A","078-520147"
"Gauradaha Multiple Campus","Gauradaha, Jhapa","N/A","National Examinations Board, Tribhuvan University","Community","N/A","023-480128, 023-29744"
"Bhairab Multiple Campus","Rainadevi Chhahara, Palpa","N/A","Tribhuvan University","Community","N/A","075-690050"
"Central Campus Far-Western University","Mahendranagar, Bheemdatt, Kanchanpur","N/A","Far-Western University","Public","N/A","N/A"
"Kumarwarti Multiple Campus","Kawasoti, Nawalpur","N/A","National Examinations Board, Tribhuvan University","Community","2045 BS","078-540115"
"Marsyangdi Multiple Campus","Besishahar, Lamjung","N/A","National Examinations Board, Tribhuvan University","Community","2047 BS","977 066-520213"
"J.S. Murarka Multiple Campus","Lahan, Siraha","N/A","Tribhuvan University, Rajarshi Janak University","Community","2044 BS","033-560252"
"Modern College","Srijana Nagar, Bhaktapur","N/A","National Examinations Board, Tribhuvan University","Private","1993 A.D.","N/A"
"Modern Technical College","Sanepa, Lalitpur","N/A","Pokhara University","Private","2010 AD","N/A"
"Chakrabarti Habi Education Academy (College of Allied Health Science)","Madhyapur Thimi, Bhaktapur","N/A","Purbanchal University","Private","2010 AD","N/A"
"Janapradeep Multiple Campus","Aandhikhola, Syangja","N/A","Tribhuvan University","Community","N/A","N/A"
"Chakrabarti Habi Educational Academy","Bijulibazar, Kathmandu","N/A","Purbanchal University","Private","2010 AD","N/A"
"Shiksha Mahabhidyalaya Campus","Pokhara, Kaski","N/A","Tribhuvan University","Public","N/A","061-522418"
"Gaurishankar Multiple Campus","Ramechhap Bazar, Ramechhap","N/A","Tribhuvan University","Community","N/A","N/A"
"Laligurans Rastriya College","New Baneshwor, Shankhamul, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Everest Innovative College","Soalteemode, Kalimati, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Banke Bageshwori Campus","Surkhet Road, Nepalgunj, Banke","N/A","Tribhuvan University","Private","2013 AD","N/A"
"GP Koirala Memorial College","Siphal, Chabhil, Kathmandu","N/A","Tribhuvan University","Community","N/A","01-4479115, 01-4482404"
"Manthali Sahid Smriti Multiple Campus","Manthali, Ramechhap","N/A","Tribhuvan University","Community","2057 BS","N/A"
"Ullens College","Khumaltar, Lalitpur","N/A","Kathmandu University","Private Nonprofit","2025 AD","01-5411137, 9851415204"
"Yeti Health Science Academy","Kantimarga, Maharajgunj, Kathmandu","N/A","CTEVT, Purbanchal University","Private","2003 A.D.","N/A"
"Jaya Bageshwori Multiple Campus","Malekhu, Benighat Rorang, Dhading","N/A","Tribhuvan University","Community","N/A","N/A"
"Kamala Multiple Campus","Dudhauli, Sindhuli","N/A","Tribhuvan University","Community","2064 BS","9807772143"
"​Athabis Education Campus","Tilepata, Aathbis, Dailekh","N/A","Tribhuvan University","Community","N/A","N/A"
"Arniko Multiple Campus","Talchikhel, Satdobato, Lalitpur","N/A","Tribhuvan University","Private","N/A","N/A"
"​Sungava College","Bharatpur, Khairahani, Chitwan","N/A","National Examinations Board, Tribhuvan University","Private","N/A","N/A"
"Nilkantha Multiple Campus","Dhading Besi, Neelakantha, Dhading","N/A","Tribhuvan University","Community","2000 AD","010-520369, 520106"
"Nepal Institute of Health Sciences (Stupa College)","Jorpati, Gokarneshwar, Kathmandu","N/A","CTEVT, Purbanchal University","Private","N/A","N/A"
"Oxford College of Engineering and Management","Gaindakot, Nawalpur","N/A","Pokhara University","Private","2000 AD","N/A"
"Einstein Xavier College","Mahalaxmi Chowk, Lalitpur","N/A","Tribhuvan University, Rajarshi Janak University","Private","2001 AD","N/A"
"Mahendra Ratna Campus","Tahachal, Kathmandu","N/A","Tribhuvan University","Public","1956 AD","01-4271709, 01-4271728"
"International Center for Academics","Sinamangal, Kathmandu","N/A","Indira Gandhi National Open University","Private","N/A","N/A"
"National Infotech College","Shiromani Tole, Birgunj, Parsa","N/A","Tribhuvan University","Private","2002 AD","N/A"
"Kathmandu Engineering College","Kalimati, Kathmandu","N/A","Tribhuvan University","Private","1998 AD","N/A"
"Mangal Jana Bijaya Campus","Mangaltar, Roshi, Kavrepalanchok","N/A","Tribhuvan University","Community","2069 BS","N/A"
"Buddhabhumi Campus","Barkulpur, Kapilvastu","N/A","Tribhuvan University","Community","N/A","N/A"
"Siddheswar Education Public Campus","Bamti Bhandar, Umakunda, Ramechhap","N/A","Tribhuvan University","Community","N/A","048-620125"
"Phulbari Campus","Phulbari, Dhangadhi, Kailali","N/A","Tribhuvan University","Community","N/A","N/A"
"Janta Campus Punarbas","Tribhuvanbasti, Punarbas, Kanchanpur","N/A","Tribhuvan University","Community","N/A","N/A"
"NATHM-Bardibas","Bardibas, Mahottari","N/A","Kathmandu University","Public","1972","N/A"
"Graduate School of Management | Mid-West University","Birendranagar, Surkhet","N/A","Mid-West University","Public","2012","083-524275"
"Harihar Sanskrit Vidyapeeth","Khidim, Arghakhanchi","N/A","Nepal Sanskrit University","Public","N/A","N/A"
"Seabird International College","Madhyapur Thimi, Bhaktapur","N/A","Tribhuvan University","Private","N/A","N/A"
"Merryland College","Rangeli Road, Biratnagar, Morang","N/A","Tribhuvan University","Private","N/A","N/A"
"Gautam Buddha Multiple Campus","Jayanagar 8,Gorusinghe, Buddhabhumi, Kapilvastu","N/A","Tribhuvan University","Community","N/A","068-57050368"
"V.S. International College","Minbhawan, Kathmandu","N/A","Tribhuvan University","Private","2068","N/A"
"Nepal Law Campus","Exhibition Road, Kathmandu","N/A","Tribhuvan University","Public","1954 AD","01-4225358"
"Shreenagar Integrated College","Holangdi, Buddha Bihar, Tansen, Palpa","N/A","National Examinations Board, Purbanchal University","Private","N/A","N/A"
"College for Higher Education","Birtamod, Jhapa","N/A","National Examinations Board, Tribhuvan University","Private","2054 BS","N/A"
"Lord Buddha HRD Academy","Maitidevi, Kathmandu","N/A","Rajarshi Janak University","N/A","2024 AD","9705110600"
"Ramnagar Technical and Management College","Ramnagar, Sunwal, Parasi","N/A","Agriculture and Forestry University","Private","N/A","N/A"
"Kalika Multiple Campus, Syangja","Balmata, Bheerkot, Syangja","N/A","Tribhuvan University","Community","N/A","N/A"
"Shahid Multiple Campus","Rampur, Palpa","N/A","National Examinations Board, Tribhuvan University","Community","N/A","075-401062"
"Pathibhara Multiple Campus","Phuiling, Taplejung","N/A","National Examinations Board, Tribhuvan University","Community","N/A","024-460228"
"Arya College","Gaurinagar, Chabahil-7, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Lumbini Medical College and Teaching Hospital","Tansen, Palpa","N/A","Kathmandu University","Private","N/A","N/A"
"Jubilant College","Kalimati, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Private","2064 BS","N/A"
"Mega Valley College","Kumaripati, Lalitpur","N/A","Purbanchal University","N/A","N/A","+977 985-1061113"
"Solukhumbu Multiple Campus","Salleri, Solududhkunda, Solukhumbu","N/A","National Examinations Board, Tribhuvan University","Community","2050 B.S.","038-520225, 038-520456"
"Sowa Rigpa International College","Aarubari, Gokarneshwar, Kathmandu","N/A","Lumbini Buddhist University","Private","N/A","N/A"
"Gyan Jyoti Foundation","Tulsipur, Dang","N/A","Far-Western University","Private","N/A","N/A"
"City College Janakpur","Janakpur, Janakpurdham, Dhanusha","N/A","Tribhuvan University","Private","N/A","N/A"
"Navadurga Multiple Campus","Bhaktapur","N/A","National Examinations Board, Tribhuvan University","Public","N/A","01-6612067"
"Himalayan Multiple College","Dhulabari, Mechinagar, Jhapa","N/A","Tribhuvan University","Private","N/A","N/A"
"Suryathum Multiple Campus","Mareng, Chhatradev, Arghakhanchi","N/A","Tribhuvan University","Community","2064 BS","984722099"
"Gauri Shanker Campus Pokhara","Hemja, Pokhara, Kaski","N/A","National Examinations Board, Tribhuvan University","Community","N/A","N/A"
"Dudiawa Multiple Campus","Phatuwa Bijayapur, Rautahat","N/A","Tribhuvan University","Community","N/A","N/A"
"Deepshikha College","Ghorahi, Dang","N/A","Tribhuvan University","Private","N/A","N/A"
"Brilliant Multiple Campus","Siphal, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Private","BMC","N/A"
"Janapriya Multiple Campus","Pokhara, Kaski","N/A","Tribhuvan University","Community","2048 BS","061-572287, 061-531822"
"Canvas International College","Basundhara, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Private","N/A","N/A"
"Siddhartha Campus","Banganga, Kapilvastu","N/A","National Examinations Board, Tribhuvan University","Community","2048 BS","076-550122"
"Bardibas Janta Multiple Campus","Bardibas, Mahottari","N/A","Tribhuvan University","Community","2064 BS","044-550118, 550363"
"Rainbow International College","Chhauni, Dallu, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Kankai Multiple Campus","Surunga, Kankai, Jhapa","N/A","National Examinations Board, Tribhuvan University","Community","2035 BS","023-550153"
"Unique College of Management","Kumaripati, Lalitpur","N/A","Tribhuvan University","Private","2005 AD","N/A"
"Triyuga Janata Multiple Campus","Ghaighat, Triyuga, Udayapur","N/A","National Examinations Board, Tribhuvan University","Public","2044 B.S.","035-421435, 035-420304"
"Thakur Ram Multiple Campus","Birgunj, Parsa","N/A","Tribhuvan University","Public","2009 BS","051-522187, 051-522140"
"Sarlahi Campus","Malangwa, Sarlahi","N/A","National Examinations Board, Tribhuvan University","Community","2037 B.S.","046-520373"
"Janajyoti Multiple Campus Mahendranagar","Bhansi, Bhimdattnagar, Bheemdatt, Kanchanpur","N/A","National Examinations Board, Tribhuvan University","Private","2058 BS","N/A"
"Panini Campus","Chutrabesi, Sandhikharka, Arghakhanchi","N/A","National Examinations Board, Tribhuvan University","Community","2045 B.S.","077-420582"
"Shaheed Smarak College","Bakhanpur, Sharada Nagar, Bharatpur, Chitwan","N/A","National Examinations Board, Tribhuvan University","Community","2051 BS","056-591031"
"Waling Multiple Campus","Waling, Syangja","N/A","National Examinations Board, Tribhuvan University","Community","2037 B.S.","063-440224"
"Padma College","Durbar Square, Bhaktapur","N/A","National Examinations Board, Tribhuvan University","Private","2015 A.D.","N/A"
"Adarsha Saula College","Sainbu, Lalitpur","N/A","Tribhuvan University","Community","N/A","01-5173049, 9841392403, 9841490333"
"Bhanubhakta Memorial College","Panipokhari, Kathmandu","N/A","Tribhuvan University","Private","N/A","N/A"
"Himalayan College of Management","Kamalpokhari, Kathmandu","N/A","Kuala Lumpur University of Science and Technology","Private","N/A","N/A"
"Swoyambhu International College","Lagankhel, Lalitpur","N/A","Tribhuvan University","Private","N/A","N/A"
"Mahendra Bindeshwari Multiple Campus","Rajbiraj, Bishnupur, Saptari","N/A","Tribhuvan University","Public","2014 B.S.","520092"
"Post Graduate (Degree) Campus, Biratnagar","Biratnagar, Morang","N/A","Tribhuvan University","Public","2040 BS","021-474205"
"Gauri Shankar Yadav Campus","Gaur, Rautahat","N/A","National Examinations Board, Tribhuvan University","Public","N/A","055-520327"
"Birendra Memorial College","Bhupi Marga, Dharan, Sunsari","N/A","Tribhuvan University","Private","2060 BS","N/A"
"Janajyoti Multiple Campus Sarlahi","Lalbandi, Sarlahi","N/A","National Examinations Board, Tribhuvan University","Community","2057 B.S","046-501436, 046- 501550"
"Triveni International College","Talchowk, Pokhara, Kaski","N/A","Tribhuvan University","Community","N/A","061-696500, 061-561827"
"Birendra Bidhya Mandir Campus","Tikapur, Kailali","N/A","Tribhuvan University","Community","2063 BS","091-560220"
"Aishwarya Multiple Campus","Dhangadhi, Kailali","N/A","Tribhuvan University","Community","2063 BS","091-523270"
"Krishna Baijanath Multiple Campus","Jhalari, Shuklaphanta, Kanchanpur","N/A","Tribhuvan University","Public","N/A","N/A"
"Achham Multiple Campus","Mangalsen, Achham","N/A","Tribhuvan University","Community","2048 BS","097-620134"
"Gaurishankar Multiple Campus","Charikot, Bhimeshwor, Dolakha","N/A","National Examinations Board, Tribhuvan University","Community","2038 BS","049-4211240"
"Tej Ganga Multiple Campus","Kapalkot, Panauti, Kavrepalanchok","N/A","National Examinations Board, Tribhuvan University","Community","2057 BS","011-440028, 011-441477"
"Pathari Multiple Campus","Pathari Shanishchare, Morang","N/A","Tribhuvan University","Community","2064 BS","021-555480"
"Resunga Multiple Campus","Tamghas, Resunga, Gulmi","N/A","National Examinations Board, Tribhuvan University","Community","2039 BS","079-520145, 079-521045"
"Mahakavi Devkota Campus","Sunwal, Parasi","N/A","Tribhuvan University","Community","N/A","9857046049, 9815450333"
"Mangalodaya Multiple Campus","Thankot, Chandragiri, Kathmandu","N/A","National Examinations Board, Tribhuvan University","Community","2045 B.S.","01-4312101"
"Belbari Multiple Campus","Belbari, Morang","N/A","Tribhuvan University","Community","2065 BS","021-545519"
"Deukhuri Multiple Campus","Lamahi, Dang","N/A","Tribhuvan University","Community","2005 AD (2062 BS)","082417016, 9857847016, 9857847017, 9857847018"
"Simara College","Simara, Jitpur Simara, Bara","N/A","Tribhuvan University","Community","N/A","053-521812"
